ForceDecks Raw Data Export,1.0
Weight,84.54
Frequency,500
Recording Date,2024-03-11T15:40:01
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 1)"
Analysis Date,2024-03-11T15:40:27
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right
20.696,-0.682587,0.842786
20.698,0.317413,2.842786
20.7,0.317413,1.842786
20.702,-1.682587,1.842786
20.704,0.317413,0.842786
20.706,1.317413,0.842786
20.708,0.317413,-0.157214
20.71,1.317413,-0.157214
20.712,-0.682587,-0.157214
20.714,-1.682587,1.842786
20.716,-0.682587,1.842786
20.718,0.317413,0.842786
20.72,2.317413,-0.157214
20.722,1.317413,0.842786
20.724,0.317413,-0.157214
20.726,2.317413,1.842786
20.728,-0.682587,-1.157214
20.73,0.317413,-0.157214
20.732,-0.682587,0.842786
20.734,0.317413,1.842786
20.736,-0.682587,0.842786
20.738,-0.682587,0.842786
20.74,0.317413,0.842786
20.742,0.317413,0.842786
20.744,1.317413,0.842786
20.746,-0.682587,-0.157214
20.748,-0.682587,-0.157214
20.75,1.317413,1.842786
20.752,0.317413,-0.157214
20.754,3.317413,0.842786
20.756,0.317413,-0.157214
20.758,0.317413,1.842786
20.76,-0.682587,2.842786
20.762,0.317413,-0.157214
20.764,0.317413,0.842786
20.766,0.317413,-0.157214
20.768,0.317413,-0.157214
20.77,0.317413,1.842786
20.772,-0.682587,0.842786
20.774,-0.682587,-0.157214
20.776,-0.682587,0.842786
20.778,1.317413,1.842786
20.78,2.317413,1.842786
20.782,0.317413,1.842786
20.784,-0.682587,-0.157214
20.786,0.317413,-0.157214
20.788,0.317413,-0.157214
20.79,-0.682587,2.842786
20.792,-0.682587,0.842786
20.794,1.317413,0.842786
20.796,0.317413,1.842786
20.798,-1.682587,2.842786
20.8,-0.682587,0.842786
20.802,3.317413,0.842786
20.804,-0.682587,-0.157214
20.806,2.317413,1.842786
20.808,0.317413,1.842786
20.81,0.317413,0.842786
20.812,0.317413,1.842786
20.814,0.317413,0.842786
20.816,0.317413,0.842786
20.818,-1.682587,-1.157214
20.82,1.317413,0.842786
20.822,0.317413,0.842786
20.824,0.317413,0.842786
20.826,-1.682587,1.842786
20.828,1.317413,0.842786
20.83,0.317413,1.842786
20.832,-1.682587,0.842786
20.834,-0.682587,-0.157214
20.836,-0.682587,0.842786
20.838,-1.682587,0.842786
20.84,2.317413,3.842786
20.842,-0.682587,2.842786
20.844,1.317413,-0.157214
20.846,0.317413,0.842786
20.848,-0.682587,0.842786
20.85,0.317413,-0.157214
20.852,-0.682587,0.842786
20.854,-0.682587,1.842786
20.856,1.317413,1.842786
20.858,0.317413,-0.157214
20.86,-0.682587,0.842786
20.862,1.317413,-2.157214
20.864,2.317413,1.842786
20.866,1.317413,0.842786
20.868,1.317413,0.842786
20.87,1.317413,0.842786
20.872,0.317413,1.842786
20.874,0.317413,1.842786
20.876,-0.682587,1.842786
20.878,-0.682587,0.842786
20.88,0.317413,0.842786
20.882,0.317413,1.842786
20.884,0.317413,-0.157214
20.886,1.317413,-0.157214
20.888,-0.682587,-0.157214
20.89,0.317413,-0.157214
20.892,0.317413,-0.157214
20.894,0.317413,2.842786
20.896,1.317413,0.842786
20.898,-0.682587,-0.157214
20.9,-0.682587,-0.157214
20.902,0.317413,-0.157214
20.904,1.317413,-1.157214
20.906,-0.682587,2.842786
20.908,-0.682587,3.842786
20.91,-1.682587,1.842786
20.912,0.317413,2.842786
20.914,2.317413,-1.157214
20.916,1.317413,-0.157214
20.918,2.317413,-0.157214
20.92,0.317413,1.842786
20.922,1.317413,-1.157214
20.924,1.317413,1.842786
20.926,1.317413,-1.157214
20.928,1.317413,0.842786
20.93,0.317413,-0.157214
20.932,-0.682587,-1.157214
20.934,2.317413,-1.157214
20.936,1.317413,-0.157214
20.938,1.317413,-0.157214
20.94,3.317413,0.842786
20.942,1.317413,2.842786
20.944,0.317413,1.842786
20.946,0.317413,-0.157214
20.948,2.317413,-1.157214
20.95,-0.682587,2.842786
20.952,-1.682587,-0.157214
20.954,1.317413,-0.157214
20.956,-0.682587,0.842786
20.958,0.317413,-0.157214
20.96,0.317413,2.842786
20.962,-0.682587,-0.157214
20.964,-0.682587,1.842786
20.966,-2.682587,-0.157214
20.968,-1.682587,-1.157214
20.97,0.317413,0.842786
20.972,0.317413,-1.157214
20.974,1.317413,1.842786
20.976,0.317413,0.842786
20.978,0.317413,-0.157214
20.98,-0.682587,0.842786
20.982,-0.682587,-0.157214
20.984,-0.682587,0.842786
20.986,0.317413,0.842786
20.988,-0.682587,0.842786
20.99,2.317413,1.842786
20.992,1.317413,-0.157214
20.994,0.317413,-1.157214
20.996,-0.682587,0.842786
20.998,1.317413,2.842786
21,2.317413,0.842786
21.002,-1.682587,0.842786
21.004,1.317413,-0.157214
21.006,0.317413,-1.157214
21.008,0.317413,2.842786
21.01,0.317413,2.842786
21.012,1.317413,-0.157214
21.014,1.317413,0.842786
21.016,3.317413,1.842786
21.018,1.317413,-0.157214
21.02,1.317413,-2.157214
21.022,1.317413,-0.157214
21.024,2.317413,-2.157214
21.026,0.317413,-0.157214
21.028,0.317413,0.842786
21.03,-0.682587,2.842786
21.032,-0.682587,2.842786
21.034,1.317413,2.842786
21.036,0.317413,-0.157214
21.038,0.317413,-0.157214
21.04,-1.682587,-1.157214
21.042,-0.682587,-0.157214
21.044,0.317413,0.842786
21.046,-0.682587,0.842786
21.048,-1.682587,-0.157214
21.05,1.317413,1.842786
21.052,1.317413,2.842786
21.054,0.317413,2.842786
21.056,0.317413,2.842786
21.058,2.317413,-0.157214
21.06,0.317413,-0.157214
21.062,0.317413,-0.157214
21.064,0.317413,2.842786
21.066,-0.682587,3.842786
21.068,2.317413,3.842786
21.07,2.317413,3.842786
21.072,1.317413,1.842786
21.074,1.317413,-3.157214
21.076,-2.682587,-5.157214
21.078,-2.682587,-3.157214
21.08,-1.682587,1.842786
21.082,2.317413,6.842786
21.084,2.317413,5.842786
21.086,2.317413,-0.157214
21.088,3.317413,-2.157214
21.09,-1.682587,-3.157214
21.092,-6.682587,-1.157214
21.094,-2.682587,-2.157214
21.096,0.317413,0.842786
21.098,4.317413,-0.157214
21.1,4.317413,2.842786
21.102,1.317413,2.842786
21.104,-2.682587,3.842786
21.106,-1.682587,-0.157214
21.108,-2.682587,-3.157214
21.11,2.317413,-1.157214
21.112,2.317413,-1.157214
21.114,1.317413,0.842786
21.116,1.317413,2.842786
21.118,0.317413,3.842786
21.12,1.317413,1.842786
21.122,1.317413,-1.157214
21.124,0.317413,-0.157214
21.126,1.317413,-0.157214
21.128,-0.682587,0.842786
21.13,0.317413,2.842786
21.132,2.317413,2.842786
21.134,3.317413,2.842786
21.136,1.317413,-1.157214
21.138,0.317413,-0.157214
21.14,-0.682587,-0.157214
21.142,-1.682587,1.842786
21.144,0.317413,0.842786
21.146,1.317413,3.842786
21.148,2.317413,1.842786
21.15,1.317413,2.842786
21.152,-0.682587,-0.157214
21.154,0.317413,-1.157214
21.156,-2.682587,-0.157214
21.158,-1.682587,-0.157214
21.16,0.317413,1.842786
21.162,3.317413,2.842786
21.164,-0.682587,1.842786
21.166,1.317413,-0.157214
21.168,-0.682587,-0.157214
21.17,0.317413,-1.157214
21.172,1.317413,-2.157214
21.174,0.317413,0.842786
21.176,0.317413,1.842786
21.178,0.317413,1.842786
21.18,-0.682587,-0.157214
21.182,1.317413,2.842786
21.184,0.317413,0.842786
21.186,1.317413,-0.157214
21.188,0.317413,1.842786
21.19,1.317413,-0.157214
21.192,-1.682587,1.842786
21.194,-0.682587,-0.157214
21.196,-0.682587,0.842786
21.198,-0.682587,-0.157214
21.2,1.317413,1.842786
21.202,-0.682587,-0.157214
21.204,1.317413,2.842786
21.206,-0.682587,0.842786
21.208,2.317413,0.842786
21.21,-0.682587,2.842786
21.212,-0.682587,0.842786
21.214,1.317413,-0.157214
21.216,0.317413,0.842786
21.218,0.317413,-0.157214
21.22,1.317413,1.842786
21.222,-0.682587,0.842786
21.224,0.317413,1.842786
21.226,1.317413,0.842786
21.228,-0.682587,0.842786
21.23,1.317413,1.842786
21.232,0.317413,-1.157214
21.234,1.317413,-0.157214
21.236,1.317413,-1.157214
21.238,0.317413,0.842786
21.24,0.317413,0.842786
21.242,0.317413,2.842786
21.244,-0.682587,-1.157214
21.246,0.317413,0.842786
21.248,0.317413,-1.157214
21.25,2.317413,0.842786
21.252,-0.682587,0.842786
21.254,0.317413,0.842786
21.256,0.317413,0.842786
21.258,1.317413,-0.157214
21.26,2.317413,1.842786
21.262,0.317413,-0.157214
21.264,-0.682587,-0.157214
21.266,0.317413,2.842786
21.268,-0.682587,0.842786
21.27,0.317413,1.842786
21.272,1.317413,-0.157214
21.274,-0.682587,1.842786
21.276,1.317413,3.842786
21.278,1.317413,1.842786
21.28,1.317413,0.842786
21.282,1.317413,0.842786
21.284,2.317413,-0.157214
21.286,1.317413,1.842786
21.288,1.317413,0.842786
21.29,1.317413,1.842786
