ForceDecks Raw Data Export,1.0
Weight,84.54
Frequency,500
Recording Date,2024-03-11T15:40:01
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 3)"
Analysis Date,2024-03-11T15:40:27
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right
47.366,-0.682587,0.842786
47.368,-0.682587,2.842786
47.37,0.317413,0.842786
47.372,-0.682587,1.842786
47.374,1.317413,2.842786
47.376,0.317413,3.842786
47.378,0.317413,2.842786
47.38,-0.682587,2.842786
47.382,0.317413,2.842786
47.384,0.317413,0.842786
47.386,-0.682587,2.842786
47.388,-1.682587,1.842786
47.39,1.317413,2.842786
47.392,1.317413,-0.157214
47.394,0.317413,1.842786
47.396,-0.682587,1.842786
47.398,0.317413,2.842786
47.4,-0.682587,1.842786
47.402,0.317413,0.842786
47.404,-0.682587,0.842786
47.406,0.317413,1.842786
47.408,0.317413,1.842786
47.41,1.317413,-0.157214
47.412,1.317413,0.842786
47.414,1.317413,2.842786
47.416,1.317413,2.842786
47.418,1.317413,1.842786
47.42,2.317413,1.842786
47.422,-0.682587,2.842786
47.424,-0.682587,-0.157214
47.426,2.317413,-0.157214
47.428,-0.682587,1.842786
47.43,-0.682587,2.842786
47.432,-0.682587,1.842786
47.434,0.317413,1.842786
47.436,0.317413,0.842786
47.438,0.317413,2.842786
47.44,0.317413,2.842786
47.442,-0.682587,0.842786
47.444,-1.682587,2.842786
47.446,-0.682587,1.842786
47.448,2.317413,0.842786
47.45,-0.682587,2.842786
47.452,-0.682587,2.842786
47.454,-1.682587,2.842786
47.456,0.317413,0.842786
47.458,1.317413,1.842786
47.46,1.317413,2.842786
47.462,2.317413,1.842786
47.464,0.317413,1.842786
47.466,0.317413,2.842786
47.468,-0.682587,0.842786
47.47,0.317413,2.842786
47.472,0.317413,2.842786
47.474,1.317413,1.842786
47.476,1.317413,0.842786
47.478,-0.682587,-0.157214
47.48,1.317413,1.842786
47.482,0.317413,3.842786
