ForceDecks Raw Data Export,1.0
Weight,83.54
Frequency,500
Recording Date,2024-03-05T15:53:41
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 4)"
Analysis Date,2024-03-05T15:53:57
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right,,Acceleration,Velocity,Height,Power,Impulse
42.948,424.831169,397.491651,,0,0,0,0,0
42.95,422.831169,400.491651,,0,0,0,0,0
42.952,421.831169,398.491651,,0,0,0,0,0
42.954,424.831169,399.491651,,0,0,0,0,0
42.956,423.831169,397.491651,,0,0,0,0,0
42.958,425.831169,398.491651,,0,0,0,0,0
42.96,423.831169,398.491651,,0,0,0,0,0
42.962,422.831169,399.491651,,0,0,0,0,0
42.964,422.831169,399.491651,,0,0,0,0,0
42.966,424.831169,400.491651,,0,0,0,0,0
42.968,425.831169,399.491651,,0,0,0,0,0
42.97,424.831169,398.491651,,0,0,0,0,0
42.972,422.831169,399.491651,,0,0,0,0,0
42.974,427.831169,397.491651,,0,0,0,0,0
42.976,425.831169,398.491651,,0,0,0,0,0
42.978,425.831169,398.491651,,0,0,0,0,0
42.98,424.831169,397.491651,,0,0,0,0,0
42.982,425.831169,396.491651,,0,0,0,0,0
42.984,424.831169,396.491651,,0,0,0,0,0
42.986,425.831169,397.491651,,0,0,0,0,0
42.988,426.831169,394.491651,,0,0,0,0,0
42.99,426.831169,398.491651,,0,0,0,0,0
42.992,424.831169,397.491651,,0,0,0,0,0
42.994,425.831169,397.491651,,0,0,0,0,0
42.996,424.831169,395.491651,,0,0,0,0,0
42.998,425.831169,396.491651,,0,0,0,0,0
43,425.831169,395.491651,,0,0,0,0,0
43.002,423.831169,396.491651,,0,0,0,0,0
43.004,424.831169,395.491651,,0,0,0,0,0
43.006,424.831169,395.491651,,0,0,0,0,0
43.008,424.831169,398.491651,,0,0,0,0,0
43.01,422.831169,395.491651,,0,0,0,0,0
43.012,422.831169,397.491651,,0,0,0,0,0
43.014,421.831169,397.491651,,0,0,0,0,0
43.016,423.831169,396.491651,,0,0,0,0,0
43.018,418.831169,396.491651,,0,0,0,0,0
43.02,419.831169,397.491651,,0,0,0,0,0
43.022,420.831169,397.491651,,0,0,0,0,0
43.024,419.831169,397.491651,,0,0,0,0,0
43.026,420.831169,396.491651,,0,0,0,0,0
43.028,418.831169,395.491651,,0,0,0,0,0
43.03,417.831169,397.491651,,0,0,0,0,0
43.032,418.831169,396.491651,,0,0,0,0,0
43.034,418.831169,400.491651,,0,0,0,0,0
43.036,416.831169,398.491651,,0,0,0,0,0
43.038,414.831169,396.491651,,0,0,0,0,0
43.04,416.831169,399.491651,,0,0,0,0,0
43.042,416.831169,401.491651,,0,0,0,0,0
43.044,417.831169,399.491651,,0,0,0,0,0
43.046,414.831169,401.491651,,0,0,0,0,0
43.048,415.831169,401.491651,,0,0,0,0,0
43.05,414.831169,403.491651,,0,0,0,0,0
43.052,416.831169,403.491651,,0,0,0,0,0
43.054,417.831169,402.491651,,0,0,0,0,0
43.056,414.831169,402.491651,,0,0,0,0,0
43.058,414.831169,404.491651,,0,0,0,0,0
43.06,413.831169,402.491651,,0,0,0,0,0
43.062,414.831169,405.491651,,0,0,0,0,0
43.064,415.831169,403.491651,,0,0,0,0,0
43.066,414.831169,402.491651,,0,0,0,0,0
43.068,416.831169,403.491651,,0,0,0,0,0
43.07,415.831169,403.491651,,0,0,0,0,0
43.072,414.831169,402.491651,,0,0,0,0,0
43.074,416.831169,402.491651,,0,0,0,0,0
43.076,416.831169,403.491651,,0,0,0,0,0
43.078,416.831169,402.491651,,0,0,0,0,0
43.08,415.831169,401.491651,,0,0,0,0,0
43.082,415.831169,399.491651,,0,0,0,0,0
43.084,417.831169,401.491651,,0,0,0,0,0
43.086,417.831169,403.491651,,0,0,0,0,0
43.088,417.831169,402.491651,,0,0,0,0,0
43.09,419.831169,400.491651,,0,0,0,0,0
43.092,416.831169,401.491651,,0,0,0,0,0
43.094,419.831169,400.491651,,0,0,0,0,0
43.096,419.831169,401.491651,,0,0,0,0,0
43.098,420.831169,403.491651,,0,0,0,0,0
43.1,420.831169,400.491651,,0,0,0,0,0
43.102,422.831169,404.491651,,0,0,0,0,0
43.104,419.831169,402.491651,,0,0,0,0,0
43.106,423.831169,403.491651,,0,0,0,0,0
43.108,421.831169,403.491651,,0,0,0,0,0
43.11,425.831169,403.491651,,0,0,0,0,0
43.112,423.831169,402.491651,,0,0,0,0,0
43.114,422.831169,405.491651,,0,0,0,0,0
43.116,425.831169,404.491651,,0,0,0,0,0
43.118,425.831169,406.491651,,0,0,0,0,0
43.12,426.831169,409.491651,,0,0,0,0,0
43.122,423.831169,409.491651,,0,0,0,0,0
43.124,422.831169,408.491651,,0,0,0,0,0
43.126,423.831169,410.491651,,0,0,0,0,0
43.128,422.831169,409.491651,,0,0,0,0,0
