ForceDecks Raw Data Export,1.0
Weight,83.54
Frequency,500
Recording Date,2024-03-05T15:53:41
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 3)"
Analysis Date,2024-03-05T15:53:57
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right,,Acceleration,Velocity,Height,Power,Impulse
32.274,399.831169,420.491651,,0,0,0,0,0
32.276,402.831169,420.491651,,0,0,0,0,0
32.278,399.831169,419.491651,,0,0,0,0,0
32.28,402.831169,420.491651,,0,0,0,0,0
32.282,400.831169,421.491651,,0,0,0,0,0
32.284,401.831169,418.491651,,0,0,0,0,0
32.286,399.831169,420.491651,,0,0,0,0,0
32.288,400.831169,418.491651,,0,0,0,0,0
32.29,399.831169,419.491651,,0,0,0,0,0
32.292,399.831169,418.491651,,0,0,0,0,0
32.294,400.831169,420.491651,,0,0,0,0,0
32.296,399.831169,417.491651,,0,0,0,0,0
32.298,400.831169,421.491651,,0,0,0,0,0
32.3,400.831169,415.491651,,0,0,0,0,0
32.302,400.831169,416.491651,,0,0,0,0,0
32.304,399.831169,417.491651,,0,0,0,0,0
32.306,398.831169,417.491651,,0,0,0,0,0
32.308,397.831169,417.491651,,0,0,0,0,0
32.31,397.831169,416.491651,,0,0,0,0,0
32.312,400.831169,419.491651,,0,0,0,0,0
32.314,397.831169,416.491651,,0,0,0,0,0
32.316,400.831169,419.491651,,0,0,0,0,0
32.318,398.831169,418.491651,,0,0,0,0,0
32.32,399.831169,418.491651,,0,0,0,0,0
32.322,398.831169,420.491651,,0,0,0,0,0
32.324,398.831169,419.491651,,0,0,0,0,0
32.326,398.831169,419.491651,,0,0,0,0,0
32.328,398.831169,422.491651,,0,0,0,0,0
32.33,400.831169,418.491651,,0,0,0,0,0
32.332,400.831169,421.491651,,0,0,0,0,0
32.334,398.831169,419.491651,,0,0,0,0,0
32.336,400.831169,420.491651,,0,0,0,0,0
32.338,399.831169,419.491651,,0,0,0,0,0
32.34,399.831169,419.491651,,0,0,0,0,0
32.342,400.831169,421.491651,,0,0,0,0,0
32.344,401.831169,419.491651,,0,0,0,0,0
32.346,403.831169,420.491651,,0,0,0,0,0
32.348,402.831169,419.491651,,0,0,0,0,0
32.35,398.831169,421.491651,,0,0,0,0,0
32.352,399.831169,422.491651,,0,0,0,0,0
32.354,401.831169,418.491651,,0,0,0,0,0
32.356,403.831169,418.491651,,0,0,0,0,0
32.358,403.831169,420.491651,,0,0,0,0,0
32.36,403.831169,419.491651,,0,0,0,0,0
32.362,402.831169,420.491651,,0,0,0,0,0
32.364,402.831169,417.491651,,0,0,0,0,0
32.366,403.831169,417.491651,,0,0,0,0,0
32.368,402.831169,417.491651,,0,0,0,0,0
32.37,404.831169,418.491651,,0,0,0,0,0
32.372,403.831169,419.491651,,0,0,0,0,0
32.374,402.831169,416.491651,,0,0,0,0,0
32.376,401.831169,417.491651,,0,0,0,0,0
32.378,403.831169,418.491651,,0,0,0,0,0
32.38,402.831169,417.491651,,0,0,0,0,0
32.382,403.831169,414.491651,,0,0,0,0,0
32.384,404.831169,413.491651,,0,0,0,0,0
32.386,402.831169,415.491651,,0,0,0,0,0
32.388,402.831169,415.491651,,0,0,0,0,0
32.39,403.831169,415.491651,,0,0,0,0,0
32.392,402.831169,413.491651,,0,0,0,0,0
32.394,401.831169,413.491651,,0,0,0,0,0
32.396,400.831169,414.491651,,0,0,0,0,0
32.398,402.831169,413.491651,,0,0,0,0,0
32.4,403.831169,412.491651,,0,0,0,0,0
32.402,401.831169,412.491651,,0,0,0,0,0
32.404,403.831169,413.491651,,0,0,0,0,0
32.406,401.831169,410.491651,,0,0,0,0,0
32.408,400.831169,413.491651,,0,0,0,0,0
32.41,401.831169,411.491651,,0,0,0,0,0
32.412,403.831169,412.491651,,0,0,0,0,0
32.414,401.831169,412.491651,,0,0,0,0,0
32.416,405.831169,414.491651,,0,0,0,0,0
32.418,402.831169,414.491651,,0,0,0,0,0
32.42,403.831169,417.491651,,0,0,0,0,0
32.422,404.831169,416.491651,,0,0,0,0,0
32.424,404.831169,415.491651,,0,0,0,0,0
32.426,406.831169,417.491651,,0,0,0,0,0
32.428,406.831169,417.491651,,0,0,0,0,0
32.43,405.831169,415.491651,,0,0,0,0,0
32.432,406.831169,416.491651,,0,0,0,0,0
32.434,406.831169,418.491651,,0,0,0,0,0
32.436,407.831169,420.491651,,0,0,0,0,0
32.438,407.831169,421.491651,,0,0,0,0,0
